,molecule_chembl_id,Ki,units,data_validity_comment,max_phase,smiles
73,CHEMBL210453,6.4,nM,,,C/C=C1\C2C=C(C)C[C@]1(C(=O)OC)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2
74,CHEMBL382423,15.7,nM,,,C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2
75,CHEMBL536047,0.033,nM,,,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl
76,CHEMBL375126,48200.0,nM,,,O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21
77,CHEMBL222752,3280.0,nM,,,O=C1C(=O)N(Cc2ccc(Cc3ccc(CN4C(=O)C(=O)c5ccccc54)cc3)cc2)c2ccccc21
78,CHEMBL222856,104.0,nM,,,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC.O=C(O)C(=O)O
79,CHEMBL385130,12.2,nM,,,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC.O=C(O)C(=O)O
80,CHEMBL222904,5.67,nM,,,CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC.O=C(O)C(=O)O
81,CHEMBL225567,0.014,nM,,,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
82,CHEMBL225198,0.009,nM,Outside typical range,,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
83,CHEMBL223443,0.015,nM,,,O=C(Cc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
84,CHEMBL225326,0.02,nM,,,O=C(Cc1c[nH]c2ccc(Br)cc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
85,CHEMBL225021,0.0017,nM,Outside typical range,,O=C(CCCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
86,CHEMBL433282,850.0,nM,,,O=C1C(=O)c2cc([N+](=O)[O-])ccc2-c2ccccc21
87,CHEMBL235289,903.0,nM,,,O=C1C(=O)c2ccc([N+](=O)[O-])c3c([N+](=O)[O-])ccc1c23
88,CHEMBL52347,320.0,nM,,,O=C1C=Cc2ccccc2C1=O
89,CHEMBL231160,2.6,nM,,,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC
90,CHEMBL495711,1908.0,nM,,,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2
91,CHEMBL522073,6320.0,nM,,,CN[C@@H](Cc1ccccc1)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2
92,CHEMBL496946,11190.0,nM,,,N[C@@H](Cc1ccc2ccccc2c1)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2
93,CHEMBL521874,4130.0,nM,,,O=C(CNC(=O)[C@@H]1Cc2ccccc2CN1)Nc1c2c(nc3ccccc13)CCCC2
94,CHEMBL495712,2214.0,nM,,,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2
95,CHEMBL496126,3330.0,nM,,,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2
96,CHEMBL508778,7970.0,nM,,,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)Nc1c2c(nc3ccccc13)CCCC2
97,CHEMBL496127,34030.0,nM,,,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)Nc1c2c(nc3ccccc13)CCCC2
98,CHEMBL502244,130.0,nM,,,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2
99,CHEMBL525917,280.0,nM,,,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2
100,CHEMBL504571,15.4,nM,,,CC(C)(C)OC(=O)N[C@@H](CCC(=O)NCCNc1c2c(nc3ccccc13)CCCC2)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2
101,CHEMBL397271,6.21,nM,,,N[C@@H](CCC(=O)NCCNc1c2c(nc3ccccc13)CCCC2)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2
102,CHEMBL451304,6.75,nM,,,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@@H]1CCCN1CCNc1c2c(nc3ccccc13)CCCC2
103,CHEMBL129108,27.9,nM,,,c1ccc2c(NCCCCCCCCSc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
104,CHEMBL481,50.5,nM,,4.0,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
105,CHEMBL464538,10.0,nM,,,C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1.[Br-].[Br-]
106,CHEMBL1190,6000000.0,nM,Outside typical range,4.0,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
107,CHEMBL360055,37000.0,nM,,4.0,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
108,CHEMBL490660,1.63,nM,,,c1ccc2c(NCCc3ccc(CCNc4c5c(nc6ccccc46)CCCC5)cc3)c3c(nc2c1)CCCC3
109,CHEMBL507438,7.45,nM,,,Cc1cc(CCNc2c3c(nc4ccccc24)CCCC3)cc(CCNc2c3c(nc4ccccc24)CCCC3)c1
110,CHEMBL522286,13.27,nM,,,c1ccc2c(NCCc3cocc3CCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
111,CHEMBL521935,0.768,nM,,,c1cc(CCNc2c3c(nc4ccccc24)CCCC3)nc(CCNc2c3c(nc4ccccc24)CCCC3)c1
