,molecule_chembl_id,pKi,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
35,CHEMBL188917,6.40999458034867,454.20465592409,0.4230769230769231,5,0,4,6,32,8,0,44.760000000000005,0.3364379444417358,5.426900000000006,3.451353379365636,0,1,1,2,1,3,0,1,1
36,CHEMBL188338,6.0,373.15804008008996,0.5,5,0,3,6,26,5,0,59.32000000000001,0.45343068355775906,3.8714800000000036,3.731884630350528,0,1,1,1,1,2,0,1,1
37,CHEMBL366114,6.050000457140078,344.13149098409,0.3684210526315789,4,0,3,5,24,6,0,39.410000000000004,0.7556314630538877,2.7470000000000008,3.332175015180871,0,1,1,1,1,2,0,0,0
38,CHEMBL188753,6.549997369826814,358.14714104809,0.4,4,0,3,5,25,7,0,39.41,0.7126170009414374,3.2299000000000024,3.3601053363484388,0,1,1,1,1,2,0,0,0
39,CHEMBL189122,6.6599923820033275,370.14714104809,0.3333333333333333,4,0,3,5,26,8,0,39.41,0.5274159177582065,3.3960000000000026,3.52008495123541,0,1,1,1,1,2,0,0,0
40,CHEMBL189517,6.959991363986458,384.16279111209,0.45454545454545453,4,0,4,5,27,8,0,39.410000000000004,0.6519194610048545,3.6200000000000028,3.4908438179721646,1,1,2,1,1,2,1,0,1
41,CHEMBL365904,7.400007822415902,398.17844117609,0.4782608695652174,4,0,4,5,28,8,0,39.410000000000004,0.6300880747112739,4.010100000000003,3.485370807889714,1,1,2,1,1,2,1,0,1
42,CHEMBL186264,8.15002808767115,402.17335579608994,0.45454545454545453,5,0,3,6,28,10,0,48.64,0.45103544089960657,3.246500000000001,3.419989269428175,0,1,1,1,1,2,0,0,0
43,CHEMBL187818,8.590066876668706,438.15336930009005,0.28,4,0,4,6,31,8,0,39.410000000000004,0.48903583071782986,4.397400000000004,3.2635960571492415,0,1,1,2,1,3,0,0,0
44,CHEMBL188011,6.0,478.16827041608997,0.2962962962962963,6,0,4,7,34,9,0,65.71000000000001,0.34161990708831325,4.044900000000003,3.2833994686556203,0,1,1,2,1,3,0,0,0
